dataset_id,item_id,mode,correct,invalid_format,latency_ms,confidence
gsm8k,gsm8k_588,baseline,0,0,5573,1.0
gsm8k,gsm8k_588,improved,0,0,4422,1.0
gsm8k,gsm8k_588,standard,0,0,7720,0.5
gsm8k,gsm8k_1214,baseline,0,0,804,1.0
gsm8k,gsm8k_1214,improved,0,0,1120,0.6666666666666666
gsm8k,gsm8k_1214,standard,0,0,3684,1.0
gsm8k,gsm8k_57,baseline,0,0,1470,1.0
gsm8k,gsm8k_57,improved,0,0,3170,0.3333333333333333
gsm8k,gsm8k_57,standard,0,0,6068,0.5
gsm8k,gsm8k_906,baseline,0,0,1406,1.0
gsm8k,gsm8k_906,improved,0,0,4634,0.6666666666666666
gsm8k,gsm8k_906,standard,0,0,9329,1.0
gsm8k,gsm8k_1252,baseline,0,0,762,1.0
gsm8k,gsm8k_1252,improved,0,0,2684,0.6666666666666666
gsm8k,gsm8k_1252,standard,0,0,6381,1.0
gsm8k,gsm8k_618,baseline,0,0,956,1.0
gsm8k,gsm8k_618,improved,0,0,1106,1.0
gsm8k,gsm8k_618,standard,0,0,6930,1.0
gsm8k,gsm8k_599,baseline,0,0,1977,1.0
gsm8k,gsm8k_599,improved,0,0,7478,0.6666666666666666
gsm8k,gsm8k_599,standard,0,0,9197,1.0
gsm8k,gsm8k_289,baseline,0,0,814,1.0
gsm8k,gsm8k_289,improved,0,0,2458,0.6666666666666666
gsm8k,gsm8k_289,standard,0,0,5870,1.0
gsm8k,gsm8k_608,baseline,0,0,2576,1.0
gsm8k,gsm8k_608,improved,0,0,4891,0.3333333333333333
gsm8k,gsm8k_608,standard,0,0,8977,1.0
gsm8k,gsm8k_400,baseline,0,0,2289,1.0
gsm8k,gsm8k_400,improved,1,0,2811,0.3333333333333333
gsm8k,gsm8k_400,standard,1,0,5597,1.0
gsm8k,gsm8k_237,baseline,0,0,763,1.0
gsm8k,gsm8k_237,improved,0,0,1673,0.6666666666666666
gsm8k,gsm8k_237,standard,0,0,4902,1.0
gsm8k,gsm8k_616,baseline,0,0,2189,1.0
gsm8k,gsm8k_616,improved,0,0,4750,0.3333333333333333
gsm8k,gsm8k_616,standard,0,0,8646,1.0
gsm8k,gsm8k_672,baseline,0,0,1233,1.0
gsm8k,gsm8k_672,improved,0,0,1091,1.0
gsm8k,gsm8k_672,standard,0,0,4779,1.0
gsm8k,gsm8k_1132,baseline,0,0,892,1.0
gsm8k,gsm8k_1132,improved,0,0,1581,0.3333333333333333
gsm8k,gsm8k_1132,standard,0,0,6105,1.0
gsm8k,gsm8k_463,baseline,0,0,1670,1.0
gsm8k,gsm8k_463,improved,0,0,3161,0.6666666666666666
gsm8k,gsm8k_463,standard,0,0,6966,1.0
gsm8k,gsm8k_222,baseline,0,0,1307,1.0
gsm8k,gsm8k_222,improved,0,0,3350,0.3333333333333333
gsm8k,gsm8k_222,standard,0,0,10685,1.0
gsm8k,gsm8k_945,baseline,0,0,1442,1.0
gsm8k,gsm8k_945,improved,0,0,1808,1.0
gsm8k,gsm8k_945,standard,0,0,4926,1.0
gsm8k,gsm8k_238,baseline,0,0,915,1.0
gsm8k,gsm8k_238,improved,0,0,3455,0.6666666666666666
gsm8k,gsm8k_238,standard,0,0,5168,1.0
gsm8k,gsm8k_730,baseline,0,0,1652,1.0
gsm8k,gsm8k_730,improved,0,0,1584,0.6666666666666666
gsm8k,gsm8k_730,standard,0,0,5139,1.0
gsm8k,gsm8k_55,baseline,1,0,782,1.0
gsm8k,gsm8k_55,improved,1,0,1117,1.0
gsm8k,gsm8k_55,standard,1,0,4516,1.0
gsm8k,gsm8k_772,baseline,0,0,2059,1.0
gsm8k,gsm8k_772,improved,0,0,3641,0.6666666666666666
gsm8k,gsm8k_772,standard,0,0,7131,0.5
gsm8k,gsm8k_176,baseline,0,0,776,1.0
gsm8k,gsm8k_176,improved,0,0,1076,1.0
gsm8k,gsm8k_176,standard,0,0,4230,1.0
gsm8k,gsm8k_15,baseline,0,0,2260,1.0
gsm8k,gsm8k_15,improved,0,0,8625,0.3333333333333333
gsm8k,gsm8k_15,standard,0,0,12728,1.0
gsm8k,gsm8k_66,baseline,0,0,805,1.0
gsm8k,gsm8k_66,improved,0,0,1363,1.0
gsm8k,gsm8k_66,standard,0,0,5312,1.0
gsm8k,gsm8k_479,baseline,0,0,864,1.0
gsm8k,gsm8k_479,improved,0,0,1393,0.3333333333333333
gsm8k,gsm8k_479,standard,0,0,5763,1.0
gsm8k,gsm8k_896,baseline,0,0,1601,1.0
gsm8k,gsm8k_896,improved,0,0,2648,0.3333333333333333
gsm8k,gsm8k_896,standard,0,0,5247,1.0
gsm8k,gsm8k_1122,baseline,0,0,915,1.0
gsm8k,gsm8k_1122,improved,0,0,1102,0.6666666666666666
gsm8k,gsm8k_1122,standard,0,0,4210,1.0
gsm8k,gsm8k_1005,baseline,0,0,1926,1.0
gsm8k,gsm8k_1005,improved,0,0,4042,0.3333333333333333
gsm8k,gsm8k_1005,standard,0,0,7356,1.0
gsm8k,gsm8k_480,baseline,0,0,766,1.0
gsm8k,gsm8k_480,improved,0,0,5310,0.3333333333333333
gsm8k,gsm8k_480,standard,0,0,8334,1.0
gsm8k,gsm8k_187,baseline,0,0,852,1.0
gsm8k,gsm8k_187,improved,0,0,1396,0.3333333333333333
gsm8k,gsm8k_187,standard,0,0,6797,1.0
gsm8k,gsm8k_275,baseline,0,0,1966,1.0
gsm8k,gsm8k_275,improved,0,0,4464,1.0
gsm8k,gsm8k_275,standard,0,0,7707,1.0
gsm8k,gsm8k_868,baseline,0,0,4877,1.0
gsm8k,gsm8k_868,improved,0,0,12982,0.6666666666666666
gsm8k,gsm8k_868,standard,0,0,16963,1.0
gsm8k,gsm8k_921,baseline,0,0,829,1.0
gsm8k,gsm8k_921,improved,0,0,1205,0.6666666666666666
gsm8k,gsm8k_921,standard,0,0,5123,1.0
gsm8k,gsm8k_562,baseline,0,0,1428,1.0
gsm8k,gsm8k_562,improved,0,0,2744,1.0
gsm8k,gsm8k_562,standard,0,0,6734,1.0
gsm8k,gsm8k_1082,baseline,0,0,2544,1.0
gsm8k,gsm8k_1082,improved,0,0,8232,0.3333333333333333
gsm8k,gsm8k_1082,standard,0,0,11801,1.0
gsm8k,gsm8k_172,baseline,0,0,1810,1.0
gsm8k,gsm8k_172,improved,0,0,4551,0.3333333333333333
gsm8k,gsm8k_172,standard,0,0,7201,1.0
gsm8k,gsm8k_770,baseline,0,0,1072,1.0
gsm8k,gsm8k_770,improved,0,0,1214,0.6666666666666666
gsm8k,gsm8k_770,standard,0,0,3809,1.0
gsm8k,gsm8k_1191,baseline,0,0,1906,1.0
gsm8k,gsm8k_1191,improved,0,0,4767,0.3333333333333333
gsm8k,gsm8k_1191,standard,0,0,7792,1.0
gsm8k,gsm8k_413,baseline,0,0,767,1.0
gsm8k,gsm8k_413,improved,0,0,3248,0.3333333333333333
gsm8k,gsm8k_413,standard,0,0,6804,1.0
gsm8k,gsm8k_537,baseline,0,0,787,1.0
gsm8k,gsm8k_537,improved,0,0,1164,0.6666666666666666
gsm8k,gsm8k_537,standard,0,0,5169,1.0
gsm8k,gsm8k_1154,baseline,0,0,3499,1.0
gsm8k,gsm8k_1154,improved,0,0,7381,0.6666666666666666
gsm8k,gsm8k_1154,standard,0,0,11299,0.5
gsm8k,gsm8k_1308,baseline,1,0,644,1.0
gsm8k,gsm8k_1308,improved,1,0,1289,0.6666666666666666
gsm8k,gsm8k_1308,standard,1,0,4555,1.0
gsm8k,gsm8k_454,baseline,0,0,905,1.0
gsm8k,gsm8k_454,improved,0,0,1315,1.0
gsm8k,gsm8k_454,standard,0,0,4213,1.0
gsm8k,gsm8k_280,baseline,0,0,1839,1.0
gsm8k,gsm8k_280,improved,0,0,4554,0.6666666666666666
gsm8k,gsm8k_280,standard,0,0,7535,1.0
gsm8k,gsm8k_177,baseline,0,0,3834,1.0
