model,base_id,temperature,deterministic_stability,parsed_stability,js_stability,js_stability_parsed,accuracy,invalid_rate
llama3.2,b_001,0.0,1.0,1.0,1.0,1.0,1.0,0.0
llama3.2,b_001,0.3,1.0,1.0,1.0,1.0,1.0,0.0
llama3.2,b_001,0.7,1.0,1.0,1.0,1.0,1.0,0.0
llama3.2,b_002,0.0,1.0,1.0,1.0,1.0,1.0,0.0
llama3.2,b_002,0.3,1.0,1.0,1.0,1.0,1.0,0.0
llama3.2,b_002,0.7,1.0,1.0,1.0,1.0,1.0,0.0
llama3.2,b_003,0.0,1.0,1.0,1.0,1.0,1.0,0.0
llama3.2,b_003,0.3,1.0,1.0,1.0,1.0,1.0,0.0
llama3.2,b_003,0.7,1.0,1.0,1.0,1.0,1.0,0.0
mistral,b_001,0.0,1.0,1.0,1.0,1.0,1.0,0.0
mistral,b_001,0.3,1.0,1.0,1.0,1.0,1.0,0.0
mistral,b_001,0.7,1.0,1.0,1.0,1.0,1.0,0.0
mistral,b_002,0.0,1.0,1.0,1.0,1.0,1.0,0.0
mistral,b_002,0.3,1.0,1.0,1.0,1.0,1.0,0.0
mistral,b_002,0.7,1.0,1.0,1.0,1.0,1.0,0.0
mistral,b_003,0.0,1.0,1.0,1.0,1.0,1.0,0.0
mistral,b_003,0.3,1.0,1.0,1.0,1.0,1.0,0.0
mistral,b_003,0.7,1.0,1.0,1.0,1.0,1.0,0.0
phi3,b_001,0.0,1.0,1.0,1.0,1.0,1.0,0.0
phi3,b_001,0.3,1.0,1.0,1.0,1.0,1.0,0.0
phi3,b_001,0.7,1.0,1.0,1.0,1.0,1.0,0.0
phi3,b_002,0.0,1.0,1.0,1.0,1.0,1.0,0.0
phi3,b_002,0.3,1.0,1.0,1.0,1.0,1.0,0.0
phi3,b_002,0.7,1.0,1.0,1.0,1.0,1.0,0.0
phi3,b_003,0.0,1.0,1.0,1.0,1.0,1.0,0.0
phi3,b_003,0.3,1.0,1.0,1.0,1.0,1.0,0.0
phi3,b_003,0.7,1.0,1.0,1.0,1.0,1.0,0.0
